WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
abbreviation;2;n;3;skrót;;
accent;1;n;1;akcent;;
accident;1;n;1;wypadek;;
accommodation;2;n;2;zakwaterowanie;;
according to;1;adv;2;wed³ug;;
account;2;n;3;relacja, opis;sprawozdanie;
accurate;1;adj;2;dok³adny;poprawny;
achievement;2;n;2;osi¹gniêcie;;
adjective;1;n;2;przymiotnik;;
adventure;2;n;2;przygoda;;
adventurous;1;adj;2;¿¹dny przygód;awanturniczy;
adverb;2;n;3;przys³ówek;;
advice;1;n;2;porada;;
aged;1;adj;2;w wieku...;;
aggressive;1;adj;1;agresywny;;
aide;2;n;3;pomocnik;doradca, bliski wspó³pracownik;
although;1;adv;3;chocia¿;;
amazing;2;adj;2;zdumiewaj¹cy;;
ambitious;1;adj;1;ambitny;;
amount;1;n;2;iloœæ;;
ancient;2;adj;2;staro¿ytny;;
appropriate;1;adj;2;w³aœciwy;;
argument;1;n;1;argument;;
article;2;n;3;przedimek;;
artificial;1;adj;2;sztuczny;;
assertive;1;adj;1;asertywny;;
association;1;n;3;stowarzyszenie;;
attitude;1;n;3;postawa;podejœcie;nastawienie
authority;1;n;2;autorytet, w³adza;;
auxiliary;1;adj;3;pomocniczy;posi³kowy;
aviaton;2;n;2;lotnictwo;;
awareness;1;n;2;œwiadomoœæ;;
benefit;2;n;2;korzyœæ;;
bossy;1;adj;2;w³adczy;apodyktyczny;
briefly;2;adv;2;krótko;;
business trip;2;n;2;podró¿ s³u¿bowa;;
calm;1;adj;2;spokojny;;
camel;2;n;1;wielb³¹d;;
cash;2;n;2;gotówka;;
casually;1;adv;3;niedbale;na luzie;
category;2;n;1;kategoria;;
cautious;1;adj;2;ostro¿ny;;
celebrity;1;n;2;znana osoba;;
central;1;adj;1;centralny;;
cerebral palsy;1;n;3;pora¿enie mózgowe;;
certainly;1;adv;2;z pewnoœci¹;;
charisma;1;n;2;charyzma;;
cheerfully;2;adv;2;pogodnie, weso³o;;
choice;1;n;2;wybór;;
citizen;2;n;2;obywatel;;
civil rights;1;n;3;prawa obywatelskie;;
clothes;1;n;1;ubranie;;
coat;1;n;1;p³aszcz;;
comfortable;1;adj;1;komfortowy;;
committed;1;adj;3;zaanga¿owany;;
company;1;n;1;firma;;
competent;1;adj;1;kompetentny;;
competitive;1;adj;2;rywalizuj¹cy;;
conjunction;2;n;3;spójnik;;
controversial;1;adj;1;kontrowersyjny;;
coral reef;2;n;2;rafa koralowa;;
courage;1;n;2;odwaga;;
creative;1;adj;1;kreatywny;;
crisp;2;adj;3;nietkniêty;œwie¿y;
critic;1;n;1;krytyk;;
culture;2;n;1;kultura;;
curious;2;adj;2;zaciekawiony;;
currently;1;adv;2;obecnie;;
custom;2;n;2;obyczaj;;
customer;2;n;2;klient;;
customs;2;n;3;odprawa celna;;
cyclist;1;n;2;rowerzysta;;
dawn;2;n;3;œwit;;
