WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3;USE1;USE2;USE3
za granic¹;2;adv;2;abroad;;;;;
aktor;1;n;1;actor;;;;;
aktorka;1;n;1;actress;;;;;
w³aœciwie;1;adv;2;actually;;;;;
doros³y;1;n;2;adult;;;;;
og³oszenie;2;n;2;advert;;;;;
popo³udnie;1;n;1;afternoon;;;;;
wiek;2;n;2;age;;;;;
lotnisko;2;n;2;airport;;;;;
na g³os, g³oœno;1;adv;2;aloud;;;;;
zawsze;1;adv;1;always;;;;;
ambasador;1;n;2;ambassador;;;;;
ambicja;1;n;2;ambition;;;;;
analogowy;2;adj;3;analogue;;;;;
z³y;2;adj;2;angry;;;;;
odpowiedŸ;1;n;1;answer;;;;;
ma³pa;1;n;2;ape;;;;;
jab³ko;1;n;1;apple;;;;;
przybli¿ony;1;adj;3;approximate;;;;;
ramiê;1;n;1;arm;;;;;
artyku³;1;n;2;article;;;;;
w ogóle;2;adv;3;at all;;;;;
przynajmniej;1;adv;2;at least;;;;;
sierpieñ;1;n;1;August;;;;;
przeciêtny;1;adj;2;average;;;;;
nagroda;2;n;3;award;;;;;
tryk-trak (gra planszowa);1;n;3;backgammon;;;;;
torba p³ócienna;1;n;3;bandana bag;;;;;
bank;1;n;1;bank;;;;;
bejsbol;1;n;2;baseball;;;;;
kosz;1;n;1;basket;;;;;
koszykówka;1;n;2;basketball;;;;;
zatoka;2;n;3;bay;;;;;
pla¿a;2;n;2;beach;;;;;
³ó¿ko;1;n;1;bed;;;;;
poni¿ej;1;adv;2;below;;;;;
urodziny;1;n;2;birthday;;;;;
czarny;1;adj;1;black;;;;;
gra planszowa;1;n;2;board game;;;;;
karta pok³adowa;1;n;3;boarding pass;;;;;
cia³o;1;n;1;body;;;;;
pogrubiony;1;adj;3;bold;œmia³y;;;;
znudzony;2;adj;2;bored;;;;;
urodzony;1;adj;1;born;;;;;
krêglarstwo;1;n;3;bowling;;;;;
nawias;1;n;2;bracket;;;;;
rozróba;1;n;3;brawl;bójka;;;;
œniadanie;1;n;1;breakfast;;;;;
zwiêz³y;1;adj;3;brief;krótki;;;;
b³yskotliwy;2;adj;3;brilliant;;;;;
brytyjski;2;adj;1;British;;;;;
miot³a;1;n;2;broom;;;;;
podró¿ s³u¿bowa;2;n;3;business trip;;;;;
guzik;1;n;2;button;;;;;
karta;1;n;1;card;;;;;
przypadek;1;n;2;case;;;;;
centrum;2;n;2;centre;;;;;
stulecie;1;n;2;century;;;;;
mistrzostwo;1;n;2;championship;;;;;
szansa;1;n;2;chance;los;;;;
kana³;1;n;2;channel;;;;;
szef kuchni;2;n;2;chef;;;;;
szachy;1;n;3;chess;;;;;
dziecko;2;n;1;child;;;;;
kino;1;n;2;cinema;;;;;
zajêcia, lekcja;1;n;1;class;klasa, typ;;;;
muzyka klasyczna;1;n;2;classical music;;;;;
kawa;1;n;1;coffee;;;;;
szko³a pomaturalna, kolegium;1;n;2;college;;;;;
kolor;1;n;1;colour;;;;;
wspólny;1;adj;2;common;pospolity;;;;
komunikacja;2;n;1;communication;;;;;
spo³ecznoœæ;1;n;2;community;;;;;
firma;2;n;2;company;;;;;
konsekwencja;2;n;2;consequence;;;;;
kontrola;1;n;2;control;;;;;
konwersacja;2;n;1;conversation;;;;;
sztuka gotowanie;2;n;3;cookery;kuchnia;;;;
poprawny;1;adj;1;correct;;;;;
koszt;2;n;1;cost;;;;;
kraj;1;n;1;country;;;;;
kurs;1;n;2;course;;;;;
kultura;1;n;2;culture;;;;;
taniec;1;n;1;dance;;;;;
ciemny;1;adj;1;dark;;;;;
œmieræ;2;n;2;death;;;;;
odlot;2;n;3;departure;odjazd;;;;
kostka do gry;1;n;3;dice;;;;;
ró¿ny;1;adj;2;different;;;;;
trudny;1;adj;2;difficult;;;;;
cyfrowy;2;adj;2;digital;;;;;
dinozaur;2;n;3;dinosaur;;;;;
rozczarowany;2;adj;3;disappointed;;;;;
dystans;2;n;2;distance;odleg³oœæ;;;;
wada;1;n;3;downside;minus;;;;
wczeœnie;1;adv;2;early;;;;;
elektroniczny;2;adj;1;electronic;;;;;
zak³opotany;2;adj;3;embarrassed;;;;;
cesarz;1;n;2;emperor;;;;;
in¿ynier;2;n;2;engineer;;;;;
sprzêt;1;n;2;equipment;;;;;
zw³aszcza;1;adv;2;especially;szczególnie;;;;
nawet;2;adv;2;even;;;;;
wydarzenie;1;n;2;event;;;;;
dok³adnie;1;adv;2;exactly;;;;;
egzamin;2;n;2;exam;;;;;
przyk³ad;1;n;2;example;;;;;
oprócz;2;adv;3;except;;;;;
podekscytowany;1;adj;2;excited;przejêty;;;;
æwiczenie;1;n;1;exercise;;;;;
kosztowny;1;adj;2;expensive;drogi;;;;
urywek;2;n;3;extract;fragment;;;;
rodzina;1;n;1;family;;;;;
