WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
aeronautical engineering;1;n;2;technika lotnicza;;
aircraft maintenance;1;n;2;obs³uga samolotu;;
apprentice;1;n;2;praktykant;uczeñ rzemieœlnika;
apprenticeship;1;n;2;praktyka zawodowa;nauka rzemios³a;terminowanie
automotive engineering;1;n;2;technika samochodowa;;
broad;1;adj;1;szeroki;;
choice;1;n;1;wybór;;
civil engineering ;1;n;2;budownictwo l¹dowe;budownictwo l¹dowe i wodne;in¿ynieria l¹dowa i wodna
computer-aided design ;1;n;2;projektowanie wspomagane komputerowo;;
computer-aided draughting ;1;n;3;kreœlenie wspomagane komputerowo;;
course;1;n;1;kurs;;
degree;1;n;1;stopieñ;;
device;1;n;2;urz¹dzenie;;
digital;1;adj;2;cyfrowy;;
electrical engineering ;1;n;2;energetyka;elektrotechnika;
electricity;1;n;1;elektrycznoœæ;;
electronics;1;n;1;elektronika;;
environment;1;n;2;œrodowisko;;
fault;1;n;2;usterka;wada;skaza
fitter;1;n;3;monter;;
focus;1;n;2;skupienie;ogniskowa;
gas turbine engine ;1;n;3;silnik turbospalinowy;;
graduate;1;n;1;absolwent;;
haphazard;1;adj;3;przypadkowy;;
information technology;1;n;2;informatyka;;
knowledge;1;n;2;wiedza;;
manufacturing engineering ;1;n;3;technologia produkcji;technologia wytwarzania;
marine technology;1;n;3;technika okrêtowa;;
network computing ;1;n;2;przetwarzanie sieciowe;;
ordnance;1;n;3;uzbrojenie;;
prior;1;adj;2;uprzedni;wczeœniejszy;
propeller;1;n;3;œmig³o;œruba napêdowa;
quality assurance;1;n;3;kontrola jakoœci;;
skilled;1;adj;2;wykwalifikowany;;
subject;1;n;1;przedmiot studiów;;
sustained growth;1;n;3;stabilny rozwój;;
team leader;1;n;3;brygadzista;;
technician;1;n;2;technik;;
to assess;1;v;3;oceniaæ;szacowaæ;
to charge;1;v;2;³adowaæ;;
to do research;1;v;1;prowadziæ badania;;
to earn;1;v;1;zarabiaæ;;
to include;1;v;1;zawieraæ w sobie;;
to obtain;1;v;2;uzyskaæ;;
to promote;1;v;2;awansowaæ kogoœ;;
to propel;1;v;3;napêdzaæ;;
to replace;1;v;2;zast¹piæ;wymieniæ czêœæ;
to supervise;1;v;3;nadzorowaæ;;
transmission;1;n;1;transmisja;;
variable;1;n;3;zmienna;;
vehicle maintenance and repair;1;n;2;konserwacja i naprawa pojazdów;;
vocational;1;adj;2;zawodowy;;
workshop;1;n;2;warsztat;;
amount;2;n;1;iloœæ;;
application;2;n;2;zastosowanie;;
apricot;2;n;1;morela;;
aquifer;2;n;3;warstwa wodonoœna;;
barbed wire;2;n;2;drut kolczasty;;
batch;2;n;3;partia, seria;;
benzoate;2;n;3;benzoesan;;
bottle stopper;2;n;2;zamykacz do butelki;;
bundle;2;n;2;snopek;pêczek;
bung;2;n;3;zatyczka;;
canning;2;n;2;puszkowanie;;
chloride;2;n;3;chlorek;;
chlorophyll;2;n;3;chlorofil;;
cork;2;n;1;korek;;
cotton gin;2;n;3;odziarniarka;;
crop;2;n;1;uprawa;;
dehydration;2;n;2;odwodnienie;;
demand;2;n;2;popyt;;
depth;2;n;2;g³êbokoœæ;;
destructive testing;2;n;2;testowanie zniszczeniowe;;
discharge pipe;2;n;3;wylewka;;
drawback;2;n;1;wada;;
drawbar;2;n;3;sprzêg;;
dull;2;adj;2;matowy;;
efficient;2;adj;2;wydajny;;
effort;2;n;2;wysi³ek;;
entrepreneurial;2;adj;3;przedsiêbiorczy;;
eventually;2;adv;2;w koñcu;ostatecznie;
fabric;2;n;2;tkanina;;
fertilizer;2;n;2;nawóz;;
firmness;2;n;2;twardoœæ;;
food preservation;2;n;2;konserwacja ¿ywnoœci;;
frontier;2;n;2;granica;;
grain;2;n;2;zbo¿e;ziarno;
hairpin;2;n;1;szpilka do w³osów;;
handle;2;n;2;r¹czka, uchwyt;klamka;
herbicide;2;n;2;œrodek chwastobójczy;;
horsepower;2;n;2;koñ mechaniczny;;
hose;2;n;2;w¹¿ (gumowy);;
hull;2;n;3;szypu³ka;;
hydraulic lift;2;n;2;podnoœnik hydrauliczny;;
implement;2;n;3;przyrz¹d;narzêdzie;
labour;2;n;1;praca;;
manure spreader;2;n;3;roztrz¹sacz obornika;;
nitrate;2;n;3;azotan;;
peach;2;n;1;brzoskwinia;;
pesticide;2;n;1;pestycyd;;
pile;2;n;2;stóg;stos;sterta
piston;2;n;3;t³ok cylindra;;
poverty;2;n;2;ubóstwo;bieda;
power take-off shaft;2;n;3;wa³ odbioru mocy;;
pulley;2;n;3;bloczek;ko³o pasowe;
rainfall;2;n;1;opady deszczu;;
reaper;2;n;3;¿niwiarka;;
recyclable;2;adj;2;daj¹cy siê powtórnie przetworzyæ;;
reliance;2;n;2;poleganie na czymœ;;
resealable;2;adj;2;daj¹cy siê powtórnie szczelnie zamkn¹æ;;
rope;2;n;1;lina;sznur;
row;2;n;2;rz¹dek;;
sample;2;n;2;próbka;;
screwtop;2;n;2;zakrêtka;;
sealing;2;n;2;pakowanie hermetyczne;;
seed drill;2;n;3;siewnik;;
shortage;2;n;2;niedobór;brak;
sliced bread;2;n;1;chleb krojony;;
sodium;2;n;3;sód;;
soil;2;n;2;gleba;;
step;2;n;1;krok;;
sulphite;2;n;3;siarczyn;;
to assume;2;v;2;zak³adaæ, przypuszczaæ ;;
to boil;2;v;2;wrzeæ;;
to bounce back;2;v;2;odbijaæ siê;;
to cultivate;2;v;2;uprawiaæ;;
to decay;2;v;2;psuæ siê;gniæ;
to devise;2;v;2;wymyœliæ;zaprojektowaæ;
to discolour;2;v;2;odbarwiaæ;traciæ kolor;
to distinguish;2;v;2;rozró¿niaæ;;
to divide;2;v;2;dzieliæ;;
to favour;2;v;2;sprzyjaæ;faworyzowaæ;
to fence;2;v;2;grodziæ;;
to freeze;2;v;1;mroziæ;;
to fuse;2;v;2;³¹czyæ;;
to germinate;2;v;3;kie³kowaæ;;
to grip;2;n;2;chwyciæ;;
to harvest;2;v;2;zbieraæ plony;;
to indicate;2;v;1;wskazywaæ;;
to interrupt;2;v;2;przerywaæ;;
to invent;2;v;2;wynaleŸæ;;
to lift;2;v;1;podnieœæ;;
to measure;2;v;2;mierzyæ;;
to plant;2;v;2;sadziæ;;
to plough;2;v;2;oraæ;;
to pressurise;2;v;2;zwiêkszyæ ciœnienie;;
to refrigerate;2;v;1;ch³odziæ;;
to scatter;2;v;2;rozrzucaæ;;
to supply;2;v;2;zaopatrywaæ;dostarczaæ;
to sweep;2;v;1;zamiataæ;;
to tie;2;v;1;wi¹zaæ;;
to tread;2;v;3;nadepn¹æ;;
to weave;2;v;2;tkaæ;;
trailed;2;adj;2;holowany;ci¹gniony;
treadle;2;n;3;peda³;;
treadle pump;2;n;3;pompa no¿na;;
vacuum;2;n;2;pró¿nia;;
valve;2;n;2;zawór;;
variation;2;n;2;zró¿nicowanie;;
visitor;2;n;1;goœæ;;
water table;2;n;3;lustro wody;;
waveband;2;n;2;pasmo czêstotliwoœci;;
weed;2;n;2;chwast;;
wooden rail;2;n;3;drewniany balas w p³ocie;drewniana tralka;
yeast;2;n;2;dro¿d¿e;;
yield;2;n;3;zbiór;;
accuracy;3;n;2;dok³adnoœæ;;
anchor point;3;n;2;punkt zakotwiczenia;;
arch bridge;3;n;2;most ³ukowy;;
barge;3;n;3;barka;;
beam bridge;3;n;2;most belkowy;;
box girder bridge;3;n;3;most skrzynkowy;;
brick;3;n;1;ceg³a;;
bridge deck;3;n;3;p³yta noœna mostu;pomost;
cable stay bridge;3;n;3;most wantowy;most podwieszony;
century;3;n;1;stulecie;wiek;
challenge;3;n;2;wyzwanie;;
cofferdam;3;n;3;tymczasowa budowla hydrotechniczna;koferdam;
collapse;3;n;2;zawalenie siê;;
compression;3;n;2;œciskanie;;
concrete lining;3;n;3;betonowa ok³adzina;betonowa obudowa wewnêtrzna;
crane;3;n;2;dŸwig;;
cutterhead;3;n;3;g³owica skrawaj¹ca;;
damage;3;n;2;uszkodzenie;;
distortion;3;n;2;odkszta³cenie;;
drawbridge;3;n;3;most zwodzony;;
explosives;3;n;2;materialy wybuchowe;;
extinguisher;3;n;2;gaœnica;;
gang of men;3;n;3;brygada robocza;;
gas pipeline;3;n;2;gazoci¹g;;
girder;3;n;3;dŸwigar;;
huge;3;adj;2;olbrzymi;;
inward tension;3;n;3;wewnêtrzne naprê¿enie;wewnêtrzny naci¹g;
jack;3;n;3;podnoœnik;;
laser-guided;3;adj;2;naprowadzany laserowo;;
lifting bridge;3;n;3;most podnoszony;;
load;3;n;3;obci¹¿enie;;
log;3;n;2;k³oda;;
mandatory;3;adj;2;obowi¹zkowy;;
measurement;3;n;2;pomiar;;
parallel;3;adj;2;równoleg³y;;
pier;3;n;3;filar;pylon;
pivot bridge;3;n;3;most obrotowy;;
prohibition;3;n;1;zakaz;;
pump;3;n;1;pompa;;
refuse;3;n;3;urobek;odpady;
reinforced concrete;3;n;3;beton zbrojony;;
river bed;3;n;2;koryto rzeki;³o¿e rzeki;
sewage pipeline;3;n;2;kanalizacja œciekowa;;
sewer;3;n;2;kana³ œciekowy;;
shear;3;n;3;œcinanie;;
shipping route;3;n;2;szlak ¿eglugowy;szlak morski;
solution;3;n;2;rozwi¹zanie;;
span;3;n;3;przês³o;;
spillage;3;n;3;wyciek;;
steel;3;n;1;stal;;
stone;3;n;1;kamieñ;;
stream;3;n;2;strumieñ;;
support;3;n;2;podpora;;
suspension bridge;3;n;2;most wisz¹cy;;
swing bridge;3;n;3;most obrotowy;;
TBM;3;n;3;maszyna dr¹¿¹ca tunele;mechaniczny kret;
tension;3;n;3;naprê¿enie;;
tilt bridge;3;n;3;most przechy³owy;;
to astonish;3;v;2;zdumiewaæ;;
to bend;3;v;2;ugi¹æ (siê);;
to bore;3;v;3;dr¹¿yæ;wierciæ;
to carry;3;v;2;przenosiæ;;
to develop;3;v;1;rozwijaæ (siê);;
to drain;3;v;2;osuszyæ;odprowadziæ wodê;
to hoist;3;v;3;podnosiæ;;
to link;3;v;2;po³¹czyæ;;
to pass under;3;v;2;przechodziæ pod (czymœ);;
to pivot;3;v;3;obracaæ siê wokó³ osi;;
to resist;3;v;2;byæ odpornym;stawiaæ opór (czemuœ);
to strengthen;3;v;2;wzmocniæ;;
to weaken;3;v;2;os³abiæ;;
to weld;3;v;2;spawaæ;;
tolerance;3;n;1;tolerancja;;
truss bridge;3;n;3;most kratownicowy;;
tunnel;3;n;1;tunel;;
twin towers;3;n;1;bliŸniacze wie¿e;;
valley;3;n;1;dolina;;
viaduct;3;n;1;wiadukt;;
warning;3;n;1;ostrze¿enie;;
water pipeline;3;n;2;wodoci¹g;;
wet;3;adj;1;mokry;;
width;3;n;2;szerokoœæ;;
ability;4;n;1;zdolnoœæ;;
annual;4;adj;3;coroczny;roczny;
appliance;4;n;3;urz¹dzenie;;
artificial;4;adj;2;sztuczny;;
attention;4;n;2;uwaga;;
attractive;4;adj;1;atrakcyjny;;
bacteria;4;n;2;bakterie;;
biodegradable;4;adj;2;ulegaj¹cy biodegradacji;;
carbon dioxide;4;n;3;dwutlenek wêgla;;
clothing;4;n;2;odzie¿;ubranie;
coal;4;n;1;wêgiel;;
component;4;n;1;komponent;czêœæ;
compression moulding;4;n;3;formowanie ciœnieniowe;;
consonant;4;n;3;spó³g³oska;;
consumption;4;n;2;zu¿ycie;konsumpcja;
contamination;4;n;3;zanieczyszczenie;ska¿enie;
corn;4;n;1;kukurydza;;
density;4;n;3;gêstoœæ;;
dust;4;n;2;kurz;;
expected life;4;n;3;przewidywany okres bezawaryjnego dzia³ania;;
feedback;4;n;3;informacja zwrotna;sprzê¿enie zwrotne;
fibre;4;n;3;w³ókno;;
filament;4;n;3;w³ókno;¿arnik;
flexibility;4;n;3;elastycznoœæ;giêtkoœæ;
fuel tank;4;n;1;zbiornik paliwa;;
granule;4;n;3;granulka;;
industry;4;n;2;przemys³;;
injection moulding;4;n;3;formowanie wtryskowe;;
